,Country Name,Life expectancy,"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)"
0,Guinea,59.72,98.1419982910156,37.992000579834,6.8439998626709
1,Burkina Faso,60.039,89.9551162719727,40.2732582092285,6.93696022033691
2,Belize,73.931,112.805587768555,87.3793334960938,25.0688591003418
3,Japan,84.3563414634146,102.652282714844,102.670066833496,62.1184997558594
4,"Hong Kong SAR, China",85.1558536585366,102.202606201172,105.107139587402,83.8542098999023
